County,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Alabama-Choctaw,0.9999973773956299,1.6710291106392106e-07,1.116748862273198e-07,1.986863509273462e-07,2.0810915657420992e-07,1.471479293968514e-07,1.5284176413388195e-07,1.763244057428892e-07,1.9206684953587683e-07,2.1634974700646126e-07,3.758639479656267e-07,1.1577143510521637e-07,2.916219727921998e-07,2.1070329125905118e-07,1.5071171333147504e-07
Alabama-Clarke,0.9999973773956299,1.6710291106392106e-07,1.116748862273198e-07,1.986863509273462e-07,2.0810915657420992e-07,1.471479293968514e-07,1.5284176413388195e-07,1.763244057428892e-07,1.9206684953587683e-07,2.1634974700646126e-07,3.758639479656267e-07,1.1577143510521637e-07,2.916219727921998e-07,2.1070329125905118e-07,1.5071171333147504e-07
Alabama-Clay,0.9999973773956299,1.6710291106392106e-07,1.116748862273198e-07,1.986863509273462e-07,2.0810915657420992e-07,1.471479293968514e-07,1.5284176413388195e-07,1.763244057428892e-07,1.9206684953587683e-07,2.1634974700646126e-07,3.758639479656267e-07,1.1577143510521637e-07,2.916219727921998e-07,2.1070329125905118e-07,1.5071171333147504e-07
Alabama-Cleburne,0.9999973773956299,1.619956719878246e-07,1.0834084207544947e-07,1.931909281438493e-07,2.0185332516575727e-07,1.4239383006042772e-07,1.4804399484091846e-07,1.7076490621548146e-07,1.8630319686963048e-07,2.0961358870863478e-07,3.6411333326213935e-07,1.1204698324718265e-07,2.835874397533189e-07,2.0384742072110384e-07,1.460792731222682e-07
Alabama-Coffee,0.9999973773956299,1.5912972628484567e-07,1.062167669374503e-07,1.902130151165693e-07,1.9733448652914376e-07,1.3834120693445584e-07,1.442840726895156e-07,1.6640461808492546e-07,1.8226955944555812e-07,2.0472782580327475e-07,3.55011053443377e-07,1.093610606517359e-07,2.779029841804004e-07,1.9815840346382174e-07,1.434119951682078e-07
Alabama-Colbert,0.9999973773956299,1.5726861590792396e-07,1.0501815239649659e-07,1.8620835362526122e-07,1.9673487372529053e-07,1.3948674393304827e-07,1.440279362441288e-07,1.6672039748755196e-07,1.8105511401245167e-07,2.0428490188351134e-07,3.5658277397487836e-07,1.0887404755521857e-07,2.740880802321044e-07,1.993985705439627e-07,1.4183855512328591e-07
Alabama-Conecuh,0.9999973773956299,1.5970761069183936e-07,1.0683688600465757e-07,1.9052183120038535e-07,1.991321454397621e-07,1.4028184125436383e-07,1.458889471450675e-07,1.6835313942920038e-07,1.83643606987971e-07,2.0641482478822581e-07,3.592646748984407e-07,1.1031364266500532e-07,2.79605671948957e-07,2.007444805940395e-07,1.4400693260085973e-07
Alabama-Coosa,0.9999973773956299,1.6710291106392106e-07,1.116748862273198e-07,1.986863509273462e-07,2.0810915657420992e-07,1.471479293968514e-07,1.5284176413388195e-07,1.763244057428892e-07,1.9206684953587683e-07,2.1634974700646126e-07,3.758639479656267e-07,1.1577143510521637e-07,2.916219727921998e-07,2.1070329125905118e-07,1.5071171333147504e-07
Alabama-Covington,0.9999973773956299,1.619956719878246e-07,1.0834084207544947e-07,1.931909281438493e-07,2.0185332516575727e-07,1.4239383006042772e-07,1.4804399484091846e-07,1.7076490621548146e-07,1.8630319686963048e-07,2.0961358870863478e-07,3.6411333326213935e-07,1.1204698324718265e-07,2.835874397533189e-07,2.0384742072110384e-07,1.460792731222682e-07
Alabama-Crenshaw,0.9999973773956299,1.5912972628484567e-07,1.062167669374503e-07,1.902130151165693e-07,1.9733448652914376e-07,1.3834120693445584e-07,1.442840726895156e-07,1.6640461808492546e-07,1.8226955944555812e-07,2.0472782580327475e-07,3.55011053443377e-07,1.093610606517359e-07,2.779029841804004e-07,1.9815840346382174e-07,1.434119951682078e-07
Alabama-Cullman,0.9999973773956299,1.619956719878246e-07,1.0834084207544947e-07,1.931909281438493e-07,2.0185332516575727e-07,1.4239383006042772e-07,1.4804399484091846e-07,1.7076490621548146e-07,1.8630319686963048e-07,2.0961358870863478e-07,3.6411333326213935e-07,1.1204698324718265e-07,2.835874397533189e-07,2.0384742072110384e-07,1.460792731222682e-07
Alabama-Dale,0.9999974966049194,1.5346647330716223e-07,1.0225450353118504e-07,1.8229462739327573e-07,1.9088339797690423e-07,1.345343747516381e-07,1.397722684259861e-07,1.6141724756835174e-07,1.759387799893375e-07,1.980719019911703e-07,3.4655914760151063e-07,1.0556220786384074e-07,2.670829530870833e-07,1.9267815787316067e-07,1.3823981248606287e-07
Alabama-Dallas,0.9999973773956299,1.5955674825818278e-07,1.0650382620269738e-07,1.907339850504286e-07,1.9781909088578686e-07,1.386526520263942e-07,1.446498600898849e-07,1.6682123771261104e-07,1.8275622437613492e-07,2.052617276149249e-07,3.5579060408963414e-07,1.0965285213160314e-07,2.786641175589466e-07,1.9861663247411343e-07,1.4380066204466857e-07
Alabama-DeKalb,0.9999973773956299,1.6710291106392106e-07,1.116748862273198e-07,1.986863509273462e-07,2.0810915657420992e-07,1.471479293968514e-07,1.5284176413388195e-07,1.763244057428892e-07,1.9206684953587683e-07,2.1634974700646126e-07,3.758639479656267e-07,1.1577143510521637e-07,2.916219727921998e-07,2.1070329125905118e-07,1.5071171333147504e-07
Alabama-Elmore,0.9999974966049194,1.5391968588573945e-07,1.025783831209992e-07,1.8294458925538493e-07,1.9138430218390567e-07,1.3486683769770025e-07,1.402118954274556e-07,1.618648894918806e-07,1.765231445460813e-07,1.9869945333539363e-07,3.4731849041236273e-07,1.0589837984298356e-07,2.6805872721524793e-07,1.9317235455673654e-07,1.3865016512681905e-07
Alabama-Escambia,0.9999973773956299,1.5912972628484567e-07,1.062167669374503e-07,1.902130151165693e-07,1.9733448652914376e-07,1.3834120693445584e-07,1.442840726895156e-07,1.6640461808492546e-07,1.8226955944555812e-07,2.0472782580327475e-07,3.55011053443377e-07,1.093610606517359e-07,2.779029841804004e-07,1.9815840346382174e-07,1.434119951682078e-07
Alabama-Etowah,0.9999974966049194,1.5356280869127659e-07,1.0232825786715694e-07,1.8245671640215733e-07,1.9098555981145182e-07,1.3460162051615043e-07,1.398760076654071e-07,1.6151147974596824e-07,1.7607926849905198e-07,1.9821852959012176e-07,3.4669469073378423e-07,1.0563814356601142e-07,2.673308756584447e-07,1.9278127183497418e-07,1.383288292799989e-07
Alabama-Fayette,0.9999971389770508,1.7579246502918977e-07,1.1759342299910713e-07,2.092103272843815e-07,2.186631462564037e-07,1.5466801528418728e-07,1.6081702369774575e-07,1.854480444762885e-07,2.0204375061894098e-07,2.2757784279292537e-07,3.939180999168457e-07,1.2203118160414306e-07,3.067875411488785e-07,2.21377234765896e-07,1.587188052099009e-07
Alabama-Franklin,0.9999973773956299,1.619956719878246e-07,1.0834084207544947e-07,1.931909281438493e-07,2.0185332516575727e-07,1.4239383006042772e-07,1.4804399484091846e-07,1.7076490621548146e-07,1.8630319686963048e-07,2.0961358870863478e-07,3.6411333326213935e-07,1.1204698324718265e-07,2.835874397533189e-07,2.0384742072110384e-07,1.460792731222682e-07
Alabama-Geneva,0.9999973773956299,1.591300389236494e-07,1.0621697299484367e-07,1.902133845987919e-07,1.9733467127025506e-07,1.3834133483214828e-07,1.4428420058720803e-07,1.664049307237292e-07,1.8226955944555812e-07,2.0472802475524077e-07,3.55011053443377e-07,1.093610606517359e-07,2.7790323997578525e-07,1.9815877294604434e-07,1.434122793853021e-07
Alabama-Greene,0.9999973773956299,1.671027547445192e-07,1.116748862273198e-07,1.9868616618623491e-07,2.0810915657420992e-07,1.471479293968514e-07,1.5284176413388195e-07,1.763244057428892e-07,1.9206684953587683e-07,2.1634974700646126e-07,3.7586360690511356e-07,1.1577143510521637e-07,2.916216885751055e-07,2.1070309230708517e-07,1.507118554400222e-07
Alabama-Hale,0.9999973773956299,1.6710291106392106e-07,1.116748862273198e-07,1.986863509273462e-07,2.0810915657420992e-07,1.471479293968514e-07,1.5284176413388195e-07,1.763244057428892e-07,1.9206684953587683e-07,2.1634974700646126e-07,3.758639479656267e-07,1.1577143510521637e-07,2.916219727921998e-07,2.1070329125905118e-07,1.5071171333147504e-07
Alabama-Henry,0.9999973773956299,1.619956719878246e-07,1.0834084207544947e-07,1.931909281438493e-07,2.0185332516575727e-07,1.4239383006042772e-07,1.4804399484091846e-07,1.7076490621548146e-07,1.8630319686963048e-07,2.0961358870863478e-07,3.6411333326213935e-07,1.1204698324718265e-07,2.835874397533189e-07,2.0384742072110384e-07,1.460792731222682e-07
Alabama-Houston,0.9999974966049194,1.5346647330716223e-07,1.0225450353118504e-07,1.8229462739327573e-07,1.9088339797690423e-07,1.345343747516381e-07,1.397722684259861e-07,1.6141724756835174e-07,1.759387799893375e-07,1.980719019911703e-07,3.4655914760151063e-07,1.0556220786384074e-07,2.670829530870833e-07,1.9267815787316067e-07,1.3823981248606287e-07
Alabama-Jackson,0.9999973773956299,1.5912972628484567e-07,1.062167669374503e-07,1.902130151165693e-07,1.9733448652914376e-07,1.3834120693445584e-07,1.442840726895156e-07,1.6640461808492546e-07,1.8226955944555812e-07,2.0472782580327475e-07,3.55011053443377e-07,1.093610606517359e-07,2.779029841804004e-07,1.9815840346382174e-07,1.434119951682078e-07
Alabama-Jefferson,0.9999973773956299,1.6167234662134433e-07,1.0787318416305425e-07,1.9261989336882834e-07,2.0041700565798237e-07,1.407881882187212e-07,1.4692832905893738e-07,1.6956921911059908e-07,1.853619693292785e-07,2.0839355840962526e-07,3.618701214236353e-07,1.1125138854595207e-07,2.819672317855293e-07,2.015576683334075e-07,1.4572903239695734e-07
Alabama-Lamar,0.9999973773956299,1.6710291106392106e-07,1.116748862273198e-07,1.986863509273462e-07,2.0810915657420992e-07,1.471479293968514e-07,1.5284176413388195e-07,1.763244057428892e-07,1.9206684953587683e-07,2.1634974700646126e-07,3.758639479656267e-07,1.1577143510521637e-07,2.916219727921998e-07,2.1070329125905118e-07,1.5071171333147504e-07
Alabama-Lauderdale,0.9999974966049194,1.5346647330716223e-07,1.0225450353118504e-07,1.8229462739327573e-07,1.9088339797690423e-07,1.345343747516381e-07,1.397722684259861e-07,1.6141724756835174e-07,1.759387799893375e-07,1.980719019911703e-07,3.4655914760151063e-07,1.0556220786384074e-07,2.670829530870833e-07,1.9267815787316067e-07,1.3823981248606287e-07
Alabama-Lawrence,0.9999973773956299,1.6710291106392106e-07,1.116748862273198e-07,1.986863509273462e-07,2.0810915657420992e-07,1.471479293968514e-07,1.5284176413388195e-07,1.763244057428892e-07,1.9206684953587683e-07,2.1634974700646126e-07,3.758639479656267e-07,1.1577143510521637e-07,2.916219727921998e-07,2.1070329125905118e-07,1.5071171333147504e-07
Alabama-Lee,0.9999973773956299,1.556907989197498e-07,1.039993691165364e-07,1.845692452207004e-07,1.9482706647977466e-07,1.379257383860022e-07,1.4252167090944567e-07,1.649697338734768e-07,1.791764674408114e-07,2.0198966410589492e-07,3.530746823798836e-07,1.0768837199748305e-07,2.71635514081936e-07,1.971747707329996e-07,1.4038648998848657e-07
Alabama-Limestone,0.9999973773956299,1.556907989197498e-07,1.039993691165364e-07,1.845692452207004e-07,1.9482706647977466e-07,1.379257383860022e-07,1.4252167090944567e-07,1.649697338734768e-07,1.791764674408114e-07,2.0198966410589492e-07,3.530746823798836e-07,1.0768837199748305e-07,2.71635514081936e-07,1.971747707329996e-07,1.4038648998848657e-07
Alabama-Lowndes,0.9999973773956299,1.6710291106392106e-07,1.116748862273198e-07,1.986863509273462e-07,2.0810915657420992e-07,1.471479293968514e-07,1.5284176413388195e-07,1.763244057428892e-07,1.9206684953587683e-07,2.1634974700646126e-07,3.758639479656267e-07,1.1577143510521637e-07,2.916219727921998e-07,2.1070329125905118e-07,1.5071171333147504e-07
Alabama-Macon,0.9999973773956299,1.6710291106392106e-07,1.116748862273198e-07,1.986863509273462e-07,2.0810915657420992e-07,1.471479293968514e-07,1.5284176413388195e-07,1.763244057428892e-07,1.9206684953587683e-07,2.1634974700646126e-07,3.758639479656267e-07,1.1577143510521637e-07,2.916219727921998e-07,2.1070329125905118e-07,1.5071171333147504e-07
Alabama-Madison,0.9999974966049194,1.5397752406443033e-07,1.0262163385732492e-07,1.8303323656709836e-07,1.9144400198456424e-07,1.349056759636369e-07,1.4027436634478363e-07,1.6192170448903198e-07,1.7660784124018392e-07,1.9878967805198045e-07,3.473993217539828e-07,1.0594262533913934e-07,2.681988462427398e-07,1.9323351807543077e-07,1.3870334214516333e-07
Alabama-Marengo,0.9999973773956299,1.5912972628484567e-07,1.062167669374503e-07,1.902130151165693e-07,1.9733448652914376e-07,1.3834120693445584e-07,1.442840726895156e-07,1.6640461808492546e-07,1.8226955944555812e-07,2.0472782580327475e-07,3.55011053443377e-07,1.093610606517359e-07,2.779029841804004e-07,1.9815840346382174e-07,1.434119951682078e-07
Alabama-Marion,0.9999973773956299,1.5912972628484567e-07,1.062167669374503e-07,1.902130151165693e-07,1.9733448652914376e-07,1.3834120693445584e-07,1.442840726895156e-07,1.6640461808492546e-07,1.8226955944555812e-07,2.0472782580327475e-07,3.55011053443377e-07,1.093610606517359e-07,2.779029841804004e-07,1.9815840346382174e-07,1.434119951682078e-07
Alabama-Marshall,0.9999973773956299,1.5912972628484567e-07,1.062167669374503e-07,1.902130151165693e-07,1.9733448652914376e-07,1.3834120693445584e-07,1.442840726895156e-07,1.6640461808492546e-07,1.8226955944555812e-07,2.0472782580327475e-07,3.55011053443377e-07,1.093610606517359e-07,2.779029841804004e-07,1.9815840346382174e-07,1.434119951682078e-07
Alabama-Mobile,0.9999973773956299,1.672733560553752e-07,1.1159738022570309e-07,1.9927576033751393e-07,2.0706565351247264e-07,1.4538672132857755e-07,1.5203536918306781e-07,1.7536017082875333e-07,1.9168275855463435e-07,2.1535466032673867e-07,3.736075200322375e-07,1.1514502773479762e-07,2.9130370648999815e-07,2.0826183799727005e-07,1.5087594817941863e-07
Alabama-Monroe,0.9999973773956299,1.5912972628484567e-07,1.062167669374503e-07,1.902130151165693e-07,1.9733448652914376e-07,1.3834120693445584e-07,1.442840726895156e-07,1.6640461808492546e-07,1.8226955944555812e-07,2.0472782580327475e-07,3.55011053443377e-07,1.093610606517359e-07,2.779029841804004e-07,1.9815840346382174e-07,1.434119951682078e-07
Alabama-Montgomery,0.9999973773956299,1.5888073789938062e-07,1.0592301435963236e-07,1.890867764586801e-07,1.971593519556336e-07,1.387329433555351e-07,1.445825574819537e-07,1.6681423176123644e-07,1.8216043429220008e-07,2.049210081622732e-07,3.568719364466233e-07,1.0934896721437326e-07,2.7684356496138207e-07,1.987754245647011e-07,1.4316248098111828e-07
Alabama-Morgan,0.9999974966049194,1.5356280869127659e-07,1.0232825786715694e-07,1.8245671640215733e-07,1.9098555981145182e-07,1.3460162051615043e-07,1.398760076654071e-07,1.6151147974596824e-07,1.7607926849905198e-07,1.9821852959012176e-07,3.4669469073378423e-07,1.0563814356601142e-07,2.673308756584447e-07,1.9278127183497418e-07,1.383288292799989e-07
Alabama-Perry,0.9999973773956299,1.6710291106392106e-07,1.116748862273198e-07,1.986863509273462e-07,2.0810915657420992e-07,1.471479293968514e-07,1.5284176413388195e-07,1.763244057428892e-07,1.9206684953587683e-07,2.1634974700646126e-07,3.758639479656267e-07,1.1577143510521637e-07,2.916219727921998e-07,2.1070329125905118e-07,1.5071171333147504e-07
Alabama-Pickens,0.9999973773956299,1.6710291106392106e-07,1.116748862273198e-07,1.986863509273462e-07,2.0810915657420992e-07,1.471479293968514e-07,1.5284176413388195e-07,1.763244057428892e-07,1.9206684953587683e-07,2.1634974700646126e-07,3.758639479656267e-07,1.1577143510521637e-07,2.916219727921998e-07,2.1070329125905118e-07,1.5071171333147504e-07
Alabama-Pike,0.9999973773956299,1.6710291106392106e-07,1.116748862273198e-07,1.986863509273462e-07,2.0810915657420992e-07,1.471479293968514e-07,1.5284176413388195e-07,1.763244057428892e-07,1.9206684953587683e-07,2.1634974700646126e-07,3.758639479656267e-07,1.1577143510521637e-07,2.916219727921998e-07,2.1070329125905118e-07,1.5071171333147504e-07
Alabama-Randolph,0.9999973773956299,1.6710291106392106e-07,1.116748862273198e-07,1.986863509273462e-07,2.0810915657420992e-07,1.471479293968514e-07,1.5284176413388195e-07,1.763244057428892e-07,1.9206684953587683e-07,2.1634974700646126e-07,3.758639479656267e-07,1.1577143510521637e-07,2.916219727921998e-07,2.1070329125905118e-07,1.5071171333147504e-07
Alabama-Russell,0.9999974966049194,1.5346647330716223e-07,1.0225450353118504e-07,1.8229462739327573e-07,1.9088339797690423e-07,1.345343747516381e-07,1.397722684259861e-07,1.6141724756835174e-07,1.759387799893375e-07,1.980719019911703e-07,3.4655914760151063e-07,1.0556220786384074e-07,2.670829530870833e-07,1.9267815787316067e-07,1.3823981248606287e-07
Alabama-Shelby,0.9999973773956299,1.569122076716667e-07,1.0461810262540894e-07,1.866866625732655e-07,1.9488689417812566e-07,1.3718964453346416e-07,1.428445841611392e-07,1.6485508069763455e-07,1.7993745871081046e-07,2.0245791176876082e-07,3.530534797846485e-07,1.0798290617231032e-07,2.7345416242496867e-07,1.9649748139727308e-07,1.4137614812170796e-07
Alabama-St. Clair,0.9999973773956299,1.6286935533571523e-07,1.0868607347447323e-07,1.9207838874990557e-07,2.036585442510841e-07,1.4486853672224242e-07,1.4920368585080723e-07,1.7290047082951787e-07,1.8749598496015096e-07,2.1188128584981314e-07,3.6916367207595613e-07,1.1291436408100708e-07,2.826677700795699e-07,2.0696161584510264e-07,1.4700877670748014e-07
Alabama-Sumter,0.9999973773956299,1.5988345580808527e-07,1.0694188290472084e-07,1.9071616463861574e-07,1.9931870554046327e-07,1.4046443652659946e-07,1.460710450373881e-07,1.685322530420308e-07,1.8386177202955878e-07,2.0673495271239517e-07,3.5962290212410153e-07,1.1047050207935172e-07,2.799453397983598e-07,2.0104566544887348e-07,1.4416261251426477e-07
Alabama-Talladega,0.9999974966049194,1.5346647330716223e-07,1.0225450353118504e-07,1.8229462739327573e-07,1.9088339797690423e-07,1.345343747516381e-07,1.397722684259861e-07,1.6141724756835174e-07,1.759387799893375e-07,1.980719019911703e-07,3.4655914760151063e-07,1.0556220786384074e-07,2.670829530870833e-07,1.9267815787316067e-07,1.3823981248606287e-07
Alabama-Tallapoosa,0.9999973773956299,1.6710291106392106e-07,1.116748862273198e-07,1.986863509273462e-07,2.0810915657420992e-07,1.471479293968514e-07,1.5284176413388195e-07,1.763244057428892e-07,1.9206684953587683e-07,2.1634974700646126e-07,3.758639479656267e-07,1.1577143510521637e-07,2.916219727921998e-07,2.1070329125905118e-07,1.5071171333147504e-07
Alabama-Tuscaloosa,0.9999973773956299,1.56976710741219e-07,1.0467299915717376e-07,1.8674506918614497e-07,1.95029684846304e-07,1.3728833891946124e-07,1.429041276423959e-07,1.649513308166206e-07,1.7996353562921286e-07,2.0247877330348274e-07,3.534017878337181e-07,1.080100915373805e-07,2.734815609528596e-07,1.9658632766095252e-07,1.4146381488444604e-07
Alabama-Walker,0.9999973773956299,1.671027547445192e-07,1.116748862273198e-07,1.9868616618623491e-07,2.0810915657420992e-07,1.471479293968514e-07,1.5284176413388195e-07,1.763244057428892e-07,1.9206684953587683e-07,2.1634974700646126e-07,3.7586360690511356e-07,1.1577143510521637e-07,2.916216885751055e-07,2.1070309230708517e-07,1.507118554400222e-07
Alabama-Washington,0.9999973773956299,1.6710291106392106e-07,1.116748862273198e-07,1.986863509273462e-07,2.0810915657420992e-07,1.471479293968514e-07,1.5284176413388195e-07,1.763244057428892e-07,1.9206684953587683e-07,2.1634974700646126e-07,3.758639479656267e-07,1.1577143510521637e-07,2.916219727921998e-07,2.1070329125905118e-07,1.5071171333147504e-07
Alabama-Wilcox,0.9999973773956299,1.5912972628484567e-07,1.062167669374503e-07,1.902130151165693e-07,1.9733448652914376e-07,1.3834120693445584e-07,1.442840726895156e-07,1.6640461808492546e-07,1.8226955944555812e-07,2.0472782580327475e-07,3.55011053443377e-07,1.093610606517359e-07,2.779029841804004e-07,1.9815840346382174e-07,1.434119951682078e-07
Alabama-Winston,0.9999973773956299,1.5912972628484567e-07,1.062167669374503e-07,1.902130151165693e-07,1.9733448652914376e-07,1.3834120693445584e-07,1.442840726895156e-07,1.6640461808492546e-07,1.8226955944555812e-07,2.0472782580327475e-07,3.55011053443377e-07,1.093610606517359e-07,2.779029841804004e-07,1.9815840346382174e-07,1.434119951682078e-07
Arizona-Apache,0.9999973773956299,1.5955674825818278e-07,1.0650382620269738e-07,1.907339850504286e-07,1.9781909088578686e-07,1.386526520263942e-07,1.446498600898849e-07,1.6682123771261104e-07,1.8275622437613492e-07,2.052617276149249e-07,3.5579060408963414e-07,1.0965285213160314e-07,2.786641175589466e-07,1.9861663247411343e-07,1.4380066204466857e-07
Arizona-Cochise,0.9999974966049194,1.5346647330716223e-07,1.0225450353118504e-07,1.8229462739327573e-07,1.9088339797690423e-07,1.345343747516381e-07,1.397722684259861e-07,1.6141724756835174e-07,1.759387799893375e-07,1.980719019911703e-07,3.4655914760151063e-07,1.0556220786384074e-07,2.670829530870833e-07,1.9267815787316067e-07,1.3823981248606287e-07
Arizona-Coconino,0.9999974966049194,1.5367005801181222e-07,1.0239287462354696e-07,1.8254758060720633e-07,1.9111527649329219e-07,1.3469266946231073e-07,1.3996513814618083e-07,1.616242712998428e-07,1.7618290826248995e-07,1.9834371300930798e-07,3.469599505478982e-07,1.057076772781329e-07,2.674670724900352e-07,1.9291864816750603e-07,1.3842583257428487e-07
Arizona-Gila,0.9999973773956299,1.5912972628484567e-07,1.062167669374503e-07,1.902130151165693e-07,1.9733448652914376e-07,1.3834120693445584e-07,1.442840726895156e-07,1.6640461808492546e-07,1.8226955944555812e-07,2.0472782580327475e-07,3.55011053443377e-07,1.093610606517359e-07,2.779029841804004e-07,1.9815840346382174e-07,1.434119951682078e-07
Arizona-Graham,0.9999973773956299,1.6047233941662853e-07,1.071372608407728e-07,1.919093932656324e-07,1.98862650790943e-07,1.393139257288567e-07,1.4542027315656014e-07,1.677087908547037e-07,1.8382110056336387e-07,2.0641560638523515e-07,3.5733987147068547e-07,1.1028019031300573e-07,2.803463701184228e-07,1.9953077412537823e-07,1.4463495290328865e-07
Arizona-Greenlee,0.9999973773956299,1.5912972628484567e-07,1.062167669374503e-07,1.902130151165693e-07,1.9733448652914376e-07,1.3834120693445584e-07,1.442840726895156e-07,1.6640461808492546e-07,1.8226955944555812e-07,2.0472782580327475e-07,3.55011053443377e-07,1.093610606517359e-07,2.779029841804004e-07,1.9815840346382174e-07,1.434119951682078e-07
Arizona-La Paz,0.9999973773956299,1.5912972628484567e-07,1.062167669374503e-07,1.902130151165693e-07,1.9733448652914376e-07,1.3834120693445584e-07,1.442840726895156e-07,1.6640461808492546e-07,1.8226955944555812e-07,2.0472782580327475e-07,3.55011053443377e-07,1.093610606517359e-07,2.779029841804004e-07,1.9815840346382174e-07,1.434119951682078e-07
Arizona-Maricopa,0.9598639607429504,0.0020146260503679514,0.0024658702313899994,0.00593164935708046,0.0026524194981902838,0.002405906328931451,0.002198636531829834,0.0021855090744793415,0.0033285391982644796,0.0026161831337958574,0.0014331195270642638,0.002305781003087759,0.005571525543928146,0.0024887656327337027,0.002537521766498685
Arizona-Mohave,0.9999974966049194,1.5362623173587053e-07,1.0237198466711561e-07,1.825378319608717e-07,1.910573246277636e-07,1.3465091797115747e-07,1.3993738434692204e-07,1.6157588333953754e-07,1.7615703029605356e-07,1.983045621045676e-07,3.468170177711727e-07,1.0568388830733966e-07,2.674540553471161e-07,1.9285647567812703e-07,1.3838702273005765e-07
